food_id,food_desc,WWEIA_desc,ingredient_desc,first_words,calorie,protein,carb,sugar,fiber,saturated_fat,cholesterol,sodium,calcium,phosphorus,potassium,iron,folic_acid,vitamin_c,vitamin_d,vitamin_b12,low_calorie,high_calorie,low_protein,high_protein,low_carb,high_carb,low_sugar,high_sugar,low_fiber,high_fiber,low_saturated_fat,high_saturated_fat,low_cholesterol,high_cholesterol,low_sodium,high_sodium,low_calcium,high_calcium,low_phosphorus,high_phosphorus,low_potassium,high_potassium,low_iron,high_iron,low_folic_acid,high_folic_acid,low_vitamin_c,high_vitamin_c,low_vitamin_d,high_vitamin_d,low_vitamin_b12,high_vitamin_b12,macro_carb,macro_phosphorus,macro_calorie,macro_potassium,macro_sodium,macro_cholesterol,macro_saturated_fat,macro_protein,macro_sugar,macro_fiber,macro_iron,macro_folic_acid,macro_vitamin_b12,macro_calcium,micro_vitamin_d,macro_vitamin_c,non_zero_nutrition_count
28141300,"Chicken with rice and vegetable, diet frozen meal",Poultry mixed dishes,"Onions, frozen, chopped, cooked, boiled, drained, without salt",chicken with rice,100.179021,8.20236422,12.12257475,0.5486239,1.119578121,0.533414793,19.67909032,201.5638073,17.29754203,82.02162621,117.8028851,0.799710067,11.57620386,0.828072185,0.036660971,0.072332557,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,7
58100360,"Chilaquiles, tortilla casserole with salsa, cheese, and egg",Other Mexican mixed dishes,"Cheese, mexican, queso chihuahua",chilaquiles tortilla casserole,256.2363426,8.345484162,19.79372847,2.45950702,2.408768378,5.910802375,89.99737477,362.9464161,153.7241709,188.7857592,206.9255747,1.056487121,3.618052759,6.267986483,0.580757178,0.269425984,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,10
75410500,"Chiles rellenos, cheese-filled",Other Mexican mixed dishes,"Salt, table, iodized",chiles rellenos cheesefilled,224.6665207,11.07734867,6.19409926,2.31722463,1.075437313,7.352449558,118.8393074,306.2851212,236.8464057,193.6022498,210.8121969,1.193531067,2.940937839,39.33601308,0.620650679,0.345662698,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,9
75410530,"Chiles rellenos, filled with meat and cheese",Other Mexican mixed dishes,"Tomato products, canned, puree, without salt added",chiles rellenos filled,197.7104495,10.57195391,7.046074455,2.240455662,1.233781858,4.831348987,110.909937,330.2770752,121.2352882,148.5240583,251.2932965,1.535920106,3.487250075,28.91974776,0.532448914,0.605931333,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,8
27111410,Chili con carne with beans,Meat mixed dishes,"Chili con carne with beans, canned entree",chili con carne,102.5148286,7.640269508,9.288902203,2.495260066,2.653248483,1.477496899,18.26453577,421.5386382,29.91148507,85.76147588,271.9459568,1.510756994,0.0,3.539924451,0.025074484,0.556713021,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,9
27120210,"Chili hot dog, no bun",Meat mixed dishes,"Chili con carne with beans, canned entree",chili hot dog,207.3612745,8.840029412,7.191122549,1.276769608,1.527647059,6.168795588,33.90343137,698.7436275,25.63284314,114.7392157,279.2563725,1.710941176,0.0,0.594411765,0.475733333,0.741485294,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,9
58104530,"Chimichanga, chicken",Other Mexican mixed dishes,"Vegetable oil, NFS",chimichanga chicken,294.2583168,12.16606822,19.920229,1.585274792,1.752174772,5.714167848,31.48422236,445.2651129,155.5039718,171.3411353,164.9986462,1.696752814,21.93725733,1.760676267,0.073661956,0.161526365,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,8
58104520,"Chimichanga, with beans",Other Mexican mixed dishes,"Burrito, with beans, cheese",chimichanga with beans,226.74305,7.033997043,24.80350144,2.141005981,3.639456938,3.255852393,6.534199343,460.6928521,109.9861345,143.2907007,240.9384749,1.986845509,19.25561408,2.581396364,0.037467611,0.052535039,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,7
58104600,Chimichanga with chicken and sour cream,Other Mexican mixed dishes,"Cheese, monterey",chimichanga with chicken,217.7083333,6.552083333,19.35069444,2.354166667,1.493055556,2.935069444,12.15277778,233.6805556,41.66666667,78.81944444,250.6944444,1.694444444,23.26388889,5.104166667,0.0,0.399305556,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,8
58104510,Chimichanga with meat,Other Mexican mixed dishes,"Salt, table, iodized",chimichanga with meat,282.1239407,10.52339336,14.78539901,1.462129237,1.168785311,6.718573446,30.38488701,338.4357345,154.3343927,156.3294492,181.3294492,1.496733757,15.92514124,3.402189266,0.092816788,0.600635593,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,9
58135120,"Chow fun noodles with vegetables, meatless",Fried rice and lo/chow mein,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",chow fun noodles,76.91386654,1.625691844,15.04226972,1.284629234,1.070358081,0.170649052,0.0,179.1034009,14.85523552,26.22818129,71.94415899,0.285606422,0.0,3.658231375,0.0,0.0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,9
75439500,"Chow mein or chop suey, meatless, no noodles",Stir-fry and soy-based sauce mixtures,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",chow mein or,98.09728518,2.227700719,7.097494202,3.542837883,1.538162356,1.003066367,0.0,448.5480715,18.49354136,50.45878651,211.8451288,0.6129824,0.0,16.55712629,0.014881828,0.006357933,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,9
